Country,WeGlide,OpenAIP,OpenAIP ID,OLC,Region,Launches,Launches 2015,Launches 2019,Wrong
AU,Narromine,NARROMINE,141284,Narromine Gld,NSW,5145,3404,743,
AU,Tocumwal,TOCUMWAL,141642,Tocumwal,NSW,3917,2130,570,
AU,Kingaroy,KINGAROY,140932,Kingaroy Gld,QLD,3903,2077,502,
AU,Corowa,COROWA,140524,Corowa Rwx Gld,VIC,3667,1555,186,
AU,Beverley,BEVERLEY,140294,Beverley Gld,WA,3533,2123,728,
AU,Mount Beauty,MOUNT BEAUTY,141184,Mount Beauty Gld,VIC,3403,1490,111,
AU,Temora,TEMORA,141604,Temora Gld,NSW,2378,1670,466,
AU,Warwick,WARWICK,141733,Warwick Gld,QLD,2368,1483,417,
AU,McCaffery Field,MCCAFFREY FIELD DARLING DOWNS,1743112,McCaffery Gld,QLD,2325,1429,337,
AU,Waikerie,WAIKERIE,141704,Waikerie Gld,SA,1942,1181,171,
AU,Bacchus Marsh,BACCHUS MARSH,140227,Bacchus Mars Gld,VIC,1762,907,170,
AU,Horsham,HORSHAM,140827,Horsham Gld,VIC,1200,768,215,
AU,Cunderdin,CUNDERDIN,140547,Cunderdin Gld,WA,1159,755,222,
AU,Warkworth,WARKWORTH,141723,Warkworth Gld,NSW,1134,604,131,
AU,Raywood,RAYWOOD,1954680,Raywood,VIC,955,600,128,
AU,Pipers Field,BATHURST PIPERSFIELD,2496132,Pipers Field Gld,NSW,682,532,111,
AU,Gawler,GAWLER,140716,Gawler Gld,SA,617,274,45,
AU,Southern Cross,SOUTHERN CROSS,141536,Southern Cross,WA,546,233,0,
AU,Goondiwindi,GOONDIWINDI,140752,Goondiwindi,QLD,499,68,0,
AU,Ararat,ARARAT,140193,Ararat Gld,VIC,497,292,69,
AU,West Wyalong,WEST WYALONG,141759,West Wyalong Nsw,NSW,439,260,0,
AU,Wangaratta,WANGARATTA,141719,Wangaratta,VIC,390,221,35,
AU,Leeton,LEETON,141011,Leeton A D Gld,NSW,378,335,109,
AU,Stonefield,STONEFIELD,141550,Stonefield Gld,SA,374,103,17,
AU,Porepunkah,POREPUNKAH,141416,Porepunkah Af,VIC,373,195,17,
AU,Narrogin,NARROGIN,141283,Narrogin Gld,WA,337,239,29,
AU,Bunyan,BUNYAN,2496133,Bunyan Gld,NSW,320,222,32,
AU,Gympie,GYMPIE,140778,Gympie Kybon Gld,QLD,251,166,7,
AU,Mareeba,MAREEBA,141090,Mareeba,QLD,251,132,36,
AU,Boonah,BOONAH,140336,Boonah Gld,QLD,223,160,58,
AU,Cootamundra,COOTAMUNDRA,140517,Cootamundra Gld,NSW,220,176,60,
AU,Burketown,BURKETOWN,140382,Burketown,QLD,125,68,17,
AU,Charters Towers,CHARTERS TOWERS,140450,Charters Towers,QLD,119,55,4,
AU,Bordertown,BORDERTOWN,140340,Bordertown Gld,SA,105,73,16,
AU,Bathurst,BATHURST,140266,Bathurst Gld,NSW,86,42,3,
AU,Chinchilla,CHINCHILLA,140457,Chinchilla G Gld,QLD,85,0,0,
AU,Morawa,MORAWA,141171,Morawa Gld,WA,84,80,0,
AU,Camden,CAMDEN,140405,Camden 06rwy Gld,NSW,118,75,21,
AU,Pirrinuan,PIRRINUAN,2496134,George Lees Af,QLD,72,13,0,
AU,Sunraysia,SUNRAYSIA,2496135,Sunraysia,VIC,62,35,7,
AU,Khancoban,KHANCOBAN,140919,Khancoban,VIC,39,24,3,
AU,Balaklava,BALAKLAVA,140232,Balaklava Gld,SA,29,20,12,
AU,Gloucester,GLOUCESTER,140742,Gloucester,NSW,23,11,6,
AU,Point Cook,POINT COOK,141412,Point Cook,VIC,23,23,0,
AU,Bond Springs,BOND SPRINGS,140329,Bond Springs Gld,NT,22,19,10,
AU,Porepunkhah,POREPUNKAH,141416,Porepunkhah,VIC,21,14,2,
AU,Woodbury,WOODBURY AIRFIELD,141812,Woodbury,VIC,21,3,0,
AU,Richmond,RICHMOND,141467,Richmond Nsw Gld,NSW,20,18,0,
AU,Dululu,DULULU,2496136,Dululu Gld,QLD,17,16,5,
AU,Leongatha,LEONGATHA,141016,Leongatha1 Gld,VIC,11,11,7,
AU,Broken Hill,BROKEN HILL,140359,Broken Hill,NSW,9,3,0,
AU,Cloncurry,CLONCURRY,140468,Cloncurry,QLD,9,2,2,
AU,Gilgandra,GILGANDRA,140727,Gilgandra,NSW,9,6,0,
AU,Albury,ALBURY,140162,Albury,VIC,8,8,4,
AU,Caboolture,CABOOLTURE,140391,Caboolture Gld,QLD,8,1,0,
AU,Georgetown,GEORGETOWN,140719,Georgetown Qld,QLD,8,8,2,
AU,Grampians,GRAMPIANS,140758,Grampians Gld,VIC,8,3,0,
AU,Coongulla,COONGULLA,2496137,Glenmaggie1,VIC,7,4,0,
AU,Hervey Bay,HERVEY BAY,140804,Hervey Bay,QLD,7,7,0,
AU,Longreach,LONGREACH,141039,Longreach,QLD,7,2,2,
AU,Mangrove Mountain,MANGROVE MOUNTAIN,141080,Mangrove Mt Gld,NSW,7,0,0,
AU,Mildura,MILDURA,141129,Mildura Gld,VIC,7,7,0,
AU,Tumut,TUMUT,141675,Tumut Gld,VIC,7,7,0,
AU,Bindoon,BINDOON COLLEGE AIRSTRIP,140303,Bindoon,WA,6,4,1,
AU,Cobar,COBAR,140470,Cobar,NSW,6,2,0,
AU,Swan Hill,SWAN HILL,141573,Swan Hill,VIC,6,0,0,
AU,Wentworth,WENTWORTH,141752,Wentworth,NSW,6,3,0,
AU,Adels Grove,ADELS GROVE,140155,Adels Grove,QLD,5,3,0,
AU,Jerilderie,JERILDERIE,140871,Jerilderie,VIC,5,2,1,
AU,Moree,MOREE,141172,Moree,NSW,5,3,0,
AU,Clifton,CLIFTON,140465,Clifton Ad,QLD,4,2,0,
AU,Hay,HAY,140791,Hay Nsw,NSW,4,1,0,
AU,Jamestown,JAMESTOWN,140866,Jamestown,SA,4,1,0,
AU,Mitchell,MITCHELL,141151,Mitchell,QLD,4,0,0,
AU,Nhill,NHILL,141306,Nhill,VIC,4,0,0,
AU,White Cliffs,WHITE CLIFFS,141767,White Cliffs Nsw,NSW,4,0,0,
AU,Winton,WINTON,141794,Winton,QLD,4,1,0,
AU,Balranald,BALRANALD,140241,Balranald,NSW,3,2,0,
AU,Coonamble,COONAMBLE,140506,Coonamble,NSW,3,2,0,
AU,Farrell Flat,FARRELL FLAT,140680,Farrell Flat,SA,3,2,0,
AU,Finley,FINLEY,140683,Finley,VIC,3,2,0,
AU,Fiskville,FISKVILLE,140685,Fiskville,VIC,3,2,0,
AU,Maryborogh,MARYBOROUGH,141101,Maryborogh Vic,VIC,3,0,0,
AU,Nyngan,NYNGAN,141338,Nyngan,NSW,3,1,0,
AU,Walgett,WALGETT,141707,Walgett,NSW,3,0,0,
AU,Albany,ALBANY,140159,Albany,WA,2,1,0,
AU,Augathella,AUGATHELLA,140214,Augathella,QLD,2,0,0,
AU,Benambra,BENAMBRA,140285,Benambra,VIC,2,2,0,
AU,Blackall,BLACKALL,140311,Blackall,QLD,2,0,0,
AU,Brewarrina,BREWARRINA,140353,Brewarrina,NSW,2,0,0,
AU,Elliott,ELLIOTT,140645,Elliott Rive Gld,QLD,2,1,0,
AU,Forbes Asd Gld,FORBES,140690,Forbes Asd Gld,NSW,2,1,0,
AU,Hillston,HILLSTON,140811,Hillston,NSW,2,2,0,
AU,Marree,MARREE,141097,Marree,SA,2,0,0,
AU,Port Augusta,PORT AUGUSTA,141419,Port Augusta,SA,2,0,0,
AU,Port Fairy,PORT FAIRY,141420,Port Fairy,VIC,2,1,1,
AU,Quairading,QUAIRADING,141436,Quairading,WA,2,2,0,
AU,Renmark,RENMARK,141464,Renmark Gld,SA,2,2,0,
AU,Roma,ROMA,141484,Roma Qld Gld,QLD,2,0,0,
AU,Tibooburra,TIBOOBURRA,141630,Tibooburra,NSW,2,0,0,
AU,Toowoomba,TOOWOOMBA,141652,Toowoomba,QLD,2,0,0,
AU,Yarrawonga,YARRAWONGA,141855,Yarrawonga S,VIC,2,1,0,
AU,Adelaide Parafield,ADELAIDE PARAFIELD,140154,Adelaide Paraf,SA,1,1,0,
AU,Atherton,ATHERTON,140211,Atherton,QLD,1,0,0,
AU,Bairnsdale,BAIRNSDALE,140230,Bairnsdale,VIC,1,0,0,
AU,Blinman,BLINMAN,140315,Blinman,SA,1,0,0,
AU,Caloundra,CALOUNDRA,140401,Caloundra,QLD,1,1,0,
AU,Castletop,CASTERTON,140439,Castletop A F,NSW,1,1,0,
AU,Chillagoe,CHILLAGOE,140456,Chillagoe,QLD,1,0,0,
AU,Coober Pedy,COOBER PEDY,140495,Coober Pedy,SA,1,0,0,
AU,Coolah,COOLAH,140499,Coolah,NSW,1,1,0,
AU,Coonabarabran,COONABARABRAN,140505,Coonabarabran Ns,NSW,1,1,0,
AU,Cowra,COWRA,140533,Cowra,NSW,1,0,0,
AU,Deniliquin,DENILIQUIN,140583,Deniliquin,VIC,1,0,0,
AU,Devonport,DEVONPORT,140591,Devonport Tas,VIC,1,1,1,
AU,Donald,DONALD,140601,Donald Vic,VIC,1,0,0,
AU,Dowerin,DOWERIN,140609,Dowerin,WA,1,1,0,
AU,Dubbo,DUBBO,140612,Dubbo,NSW,1,0,0,
AU,Griffith,GRIFFITH,140769,Griffith,NSW,1,1,0,
AU,Gunnedah,GUNNEDAH,140776,Gunnedah Af,NSW,1,1,0,
AU,Holbrook,HOLBROOK,140817,Holbrook,VIC,1,0,0,
AU,Inverell,INVERELL,140854,Inverell Nsw,NSW,1,1,0,
AU,Karumba,KARUMBA,140906,Karumba,QLD,1,1,0,
AU,Kings Creek,KINGS CREEK,140936,Kings Creek Nt,NT,1,1,0,
AU,Kulin,KULIN,140959,Kulin,WA,1,1,0,
AU,Lake Cargelligo,LAKE CARGELLIGO,140973,Lake Cargelligo,NSW,1,0,0,
AU,Mudgee,MUDGEE,141238,Mudgee,NSW,1,0,0,
AU,Mungindi,MUNGINDI,141253,Mungindi,QLD,1,0,0,
AU,Mungo Lodge,MUNGO LODGE,141254,Mungo Lodge,NSW,1,0,0,
AU,Narrandera,NARRANDERA,141282,Narrandera,NSW,1,0,0,
AU,Scone,SCONE,141511,Scone,NSW,1,0,0,
AU,St George,SAINT GEORGE,141502,St George Qld,QLD,1,0,0,
AU,Stawell,STAWELL,141548,Stawell,VIC,1,0,0,
AU,Thargomindah,THARGOMINDAH,141614,Thargomindah,QLD,1,1,0,
AU,Wanaaring,WANAARING,141715,Wanaaring Ns,NSW,1,0,0,
AU,Warren,WARREN,141730,Warren Nsw,NSW,1,0,0,
AU,Wee Waa,WEE WAA,141745,Wee Waa Gld,NSW,1,1,0,
AU,Wilcannia,WILCANNIA,141775,Wilcannia,NSW,1,1,0,
AU,Wilton,WILTON,141786,Wilton,QLD,1,1,0,
AU,Wondai,WONDAI,141805,Wondai,QLD,1,1,0,
AU,Wyalkatchem,WYALKATCHEM,141825,Wyalkatchem,WA,1,1,0,
AU,York,YORK,141862,York,WA,1,1,0,
BA,Livno,LIVNO,142470,Livno,,1253,682,117,
BA,Bihac,BIHAC,142469,Bihac ?,,117,34,5,
BA,Tuzla,JEGIN LUG TUZLA,142475,Tuzla,,54,41,11,
BA,Urije-Prijedor,PRIJEDOR,142472,Urije-Prijedor,,43,33,9,
BA,Sarajevo,SARAJEVO,142473,Sarajevo,,3,2,1,
BA,Banja Luka,BANJA LUKA,142468,Banja Luka,,2,0,0,
BE,St Hubert,SAINT-HUBERT,142234,St Hubert Gld,,1113,756,184,
BE,Balen-Keiheuvel,BALEN / KEIHEUVEL,142150,Balen Keiheuvel,,875,501,93,
BE,Weelde,WEELDE,142251,Weelde,,624,252,55,
BE,Diest Schaffen,DIEST/SCHAFFEN,142169,Diest Schaffen,,491,312,56,
BE,Kiewit,HASSELT / KIEWIT,142192,Hasselt Kiewit,,285,149,25,
BE,Overboelare,GERAARDSBERGEN / OVERBOELARE,142186,Geraardsbergen O,,248,170,36,
BE,Verviers Theux,VERVIERS/THEUX,142246,Verviers Teux,,221,152,29,
BE,Tournai Maubray,TOURNAI / MAUBRAY,142243,Tournai Maubray,,171,93,11,
BE,Brasschaat,BRASSCHAAT,142155,Brasschaat,,102,79,23,
BE,Zutendaal,ZUTENDAAL,142259,Zutendaal,,98,90,28,
BE,Zoersel Oostmalle,ZOERSEL / OOSTMALLE,142256,Zoersel Oostmall,,66,41,16,
BE,Genk Zwartberg,GENK / ZWARTBERG,142184,Genk Zwartberg,,47,22,7,
BE,Goetsenhoven,GOETSENHOVEN,142187,Goetsenhoven,,38,25,7,
BE,Namur-Suarlée,NAMUR,142217,Namur Suarlee Te,,9,2,2,
BE,St Hubert Military,SAINT-HUBERT (MIL),142235,St Hubert Mil,,8,2,1,
BE,Leopoldsburg,LEOPOLDSBURG / BEVERLO,142203,Leopoldsburg Bev,,6,2,0,
BE,Florennes,FLORENNES,142180,Florennes,,4,0,0,
BE,Beerse Vliegveld,BEERSE VLIEGVELD,189708,Beerse Vliegveld,,1,1,0,
BG,Gorna Oryahovitsa,GORNA ORYAHOVITSA AIRPORT,146210,Gorna Oryahovits,,7,7,5,
BG,Varna,VARNA AIRPORT,146259,Varna,,6,6,6,
BR,Bebedouro,BEBEDOURO,142779,Bebedouro,,5947,3642,535,
BR,Tatui,TATUí,145959,Tatui,,5145,2536,412,
BR,Cacapava,FAZ. CAçAPAVA,143596,Cacapava,,4225,2524,625,
BR,Formosa Aerodrom,FORMOSA,144761,Formosa Aerodrom,,3283,2001,460,
BR,Campo Fontenelle,CAMPO FONTENELLE,142902,Afa Pista Tor Es,,2957,2855,608,
BR,Bauru,BAURU,142778,Bauru,,2674,933,76,
BR,Marília,MARíLIA,145209,Marilia Estacapa,,2585,1183,151,
BR,Rio Claro,RIO CLARO,145697,Rio Claro Brazil,,2428,1453,236,
BR,Itápolis,AEROCLUBE DE ITáPOLIS,142551,Itapolis Pista,,1337,1230,10,
BR,Osório,OSóRIO,145397,Osorio,,1005,296,0,
BR,Bahia,BAHIA GLIDING NF,2447942,Bahia Gld,,818,684,145,
BR,Luís Ed. Magalhães,LUIS EDUARDO MAGALHãES,145153,Luís Ed. Magalhães,,689,300,155,
BR,São Pedro,SãO PEDRO,145914,Sao2pedro,,654,654,0,
BR,Bento Gonçalves,AEROCLUBE DE BENTO GONçALVES,142547,Bento Goncalves,,609,367,10,
BR,Palmeira Das Missões,PALMEIRA DAS MISSõES,145420,Palmeira Das Mis,,558,324,155,
BR,Belem Novo,BELEM NOVO,142784,Belem Novo,,553,48,10,
BR,Montenegro,MONTENEGRO,145284,Montenegro,,453,19,0,
BR,Jundiaí,JUNDIAí,145088,Jundiai,,324,4,0,
BR,Rancho Sumidor,RANCHO SUMIDOR,145648,Lontras,,314,205,163,
BR,Erechim,ERECHIM,143261,Erechim Brazil,,260,176,35,
BR,Faz. Thália,FAZ. THáLIA,144597,Faz. Thalia,,232,3,1,
BR,Luis Magalhães,LUIS EDUARDO MAGALHãES,145153,Luis Magalhaes,,167,21,1,
BR,Floarianópolis,FLORIANóPOLIS,144755,Florianopolis He,,137,3,1,
BR,Rio Verde,GEN. LEITE DE CASTRO,144804,Rio Verde Gen Le,,105,77,0,
BR,Chapecó,CHAPECó,143020,Chapeco,,96,82,21,
BR,Luziânia,BRIGADEIRO ARARIPE MACEDO,142842,Luziania Aerodro,,90,41,6,
BR,Fazenda Panambi,ADDED,144065,Fazenda Panambi,,85,56,1,x
BR,Araraquara,ARARAQUARA,142666,Araraquara Pax,,74,74,51,
BR,Passo Fundo,PASSO FUNDO AEROCLUBE,145461,Passo Fundo Aero,,61,0,0,
BR,Lavras,LAVRAS,145126,Lavras,,60,6,0,
BR,Campo Fontenelle,CAMPO FONTENELLE,145510,Piracununga Camp,,45,41,20,
BR,Crateús,CRATEúS,143134,Crateus,,32,32,19,
BR,Fazenda Ykaraí,FAZ. YKARAí,144696,Fazenda Ykarai,,27,23,12,
BR,Itapetininga,FAZ. ROYAL,144231,Itapetininga Pis,,24,24,4,
BR,Garibaldi,GARIBALDI,144801,Garibaldi,,23,23,0,
BR,Pontal Flyinn,ADDED PONTAL,145550,Pontal Flyinn,,18,18,11,x
BR,Barretos,BARCELOS,142750,Barretos,,16,10,0,
BR,Pindamonhangaba,PINDAMONHANGABA,145500,Pindamonhangaba,,15,2,1,
BR,Campo Mourão,CAMPO MOURãO,142907,Campo Mourao,,14,7,0,
BR,Blumenau,BLUMENAU,142803,Blumenau,,12,5,0,
BR,Veranopolis,VERANOPOLIS,146116,Veranopolis,,10,8,0,
BR,Aragarças,ARAGARçAS,142657,Aragarcas,,5,0,0,
BR,Fazenda Palmital,FAZ. PALMITAL,144062,Fazenda Palmital,0,5,5,1,
BR,Carazinho,CARAZINHO,142954,Carazinho Pista,,4,4,0,
BR,Lençóis Paulista,LENçóIS PAULISTA,145134,Lencoispaulista,,4,2,0,
BR,São João Da Boa Vista,SãO JOãO DA BOA VISTA,145895,Sao J Da Boa Vis,,3,3,0,
BR,São José Dos Campos,SãO JOSé DOS CAMPOS,145887,Sao Jose Dos Cam,,3,2,0,
CA,Invermere,INVERMERE AIRPORT,147029,Invermere Bc Gld,BC,3903,2050,347,
CA,Hawkesbury,HAWKESBURY AIRPORT,146990,Hawkesbury,ON,2901,1602,326,
CA,Rockton SOSA On,ROCKTON AIRPORT,147501,Rockton SOSA On,ON,2745,1813,393,
CA,St-Dominique CVVC,ST-DOMINIQUE AIRPORT,147626,St Dominique CVVC QC,QC,2291,1145,259,
CA,St Raymond/Paquet,PAQUET AIRPORT,147386,St Raymond CVVQ QC,QC,2176,1275,289,
CA,Hope,HOPE,146961,Hope,BC,1638,978,229,
CA,Starbuck,STARBUCK AIRPORT,147652,Starbuck Mb Gld,MB,1493,681,137,
CA,Arthur,ARTHUR EAST AIRPORT,146470,Arthur,ON,1257,610,54,
CA,Kars/Rideau Valley Air Park,RIDEAU VALLEY AIR PARK,147488,Kars RVSC On,ON,1226,763,179,
CA,Pendleton GATGC,PENDLETON AIRPORT,147399,Pendleton GATGC On,ON,985,539,132,
CA,Cudworth,CUDWORTH AIRPORT,146713,Cudworth,SK,717,499,87,
CA,Black Diamond,CU NIM AIRPORT,146712,Black Diamond Ab,AB,617,463,110,x
CA,Torontosoari,CORONATION,146613,Torontosoari On,ON,575,345,63,x
CA,Cowley,COWLEY AIRPORT,146707,Cowley Camp Kitc,AB,564,387,34,
CA,Pemberton,PEMBERTON AIRPORT,147397,Pemberton BC,BC,504,266,28,
CA,Chipman,CHIPMAN AIRPORT,146669,Chipman,AB,482,329,60,
CA,Baie St Paul,BAIE-ST-PAUL HELIPORT,146513,Baie St Paul,QC,359,171,26,x
CA,Port Alberni,PORT ALBERNI,147370,Port Alberni Bc,BC,355,261,52,
CA,Colgan,COCHRANE,146607,Colgan,ON,309,191,28,x
CA,Bromont,BROMONT,146507,Bromont Qc Bromo,QC,288,41,1,
CA,Brooks,BROOKS,146508,Brooks Ab,AB,141,79,14,
CA,Fairmont Hot Springs,FAIRMONT HOT SPRINGS,146822,Fairmont Hot Gld,BC,135,117,51,
CA,Merritt,MERRITT AIRPORT,147248,Merritt Bc,BC,119,53,0,
CA,Olds Netook,OLDS (NETOOK) AIRPORT,147337,Olds Netook Ab,AB,108,107,0,
CA,Pincher Creek,PINCHER CREEK AIRPORT,147407,Pincher Creek Ab,AB,105,37,0,
CA,Innisfail,INNISFAIL AIRPORT,147027,Innisfail Ab,AB,85,38,20,
CA,Elko,PELEE ISLAND,147360,Elko Bc Gld,BC,82,1,0,x
CA,Embro Airpor Gld,PEMBERTON AIRPORT,147397-176265,Embro Airpor Gld,ON/Q,74,73,7,x
CA,Valemount,VALEMOUNT,147760,Valemount,BC,66,65,19,
CA,Kelowna,KELOWNA,147055,Kelowna Bc Kelow,BC,30,30,1,
CA,Ottawa Carp,OTTAWA CARP,147330,Ottawa Carp,ON,28,27,0,
CA,Bulkley Valley Soaring,ECHO VALLEY AIRPORT,146786,Bulkley Valley Soari,BC,25,17,7,x
CA,Claresholm,CLARESHOLM INDUSTRIAL AIRPORT,146676,Claresholm Ab,AB,23,4,0,
CA,Vernon,VERNON,147765,Vernon Bc,BC,20,8,1,
